90587,1,19,Catalonia Sagrada Familia,"8,8",,"Solo nos han puesto una botellita de gel y de shampo. Éramos dos personas, nos duchamos por la noche y al otro día no teníamos.Por suerte mi mujer tenía en su equipaje.",2019-02-20
90587,1,20,Catalonia Sagrada Familia,"6,7","El desayuno, muy bueno","La habitación era muy pequeña, poco cómoda.No quisieron guardar el equipaje por unos días, cuando normalmente los hoteles no tienen ningún problema con ello.",2019-02-20
90587,1,21,Catalonia Sagrada Familia,10,"Todo estaba muy bien, pero el trato humano es muy importante para mí, todos ellos son muy buenos, yo puedo hablar con más conocimiento de Aleix porque es con quién más he tratado y tengo que decir que es EXCELENTE.",,2019-02-19
90587,1,22,Catalonia Sagrada Familia,"9,6",Hotel muy bien ubicado. Cerca a la estacion de metro y paradas de autobus.Caminata razonable hasta la sagrada familia.Habitación amplia y muy luminosa. El personal muy amable y simpático.,"Lo único que no me gusto es la tardanza del servicio de limpieza, la limpieza la hacían después de las 3 de la tarde.",2019-02-18
90587,1,23,Catalonia Sagrada Familia,"7,5","Lo que más me gustó fueron los colchones. Excelente descanso. Y es muy útil también, la heladería que hay en la habitación.",Menú de comidas muy pobre. No me gustó.,2019-02-14
90587,1,24,Catalonia Sagrada Familia,"9,6","Todo: la modernidad y estado de las instalaciones, la espaciosidad de la habitación, la amabilidad de todo el personal con quien contacté,...",Nada de nada.,2019-02-11
90587,1,25,Catalonia Sagrada Familia,"9,6",,"Preguntamos por el precio del desayuno para la niña y no lo sabian en recepción,  tuvimos que preguntar al dia siguiente ya en restaurante. Tienen una cesta xon cosas sin gluten pero no me gustó la poca información que tenian,  preguntamos por el pan sin gluten al segundo dia reaultando que si que tenian.",2019-02-10
90587,1,26,Catalonia Sagrada Familia,"7,9","Me atendieron muy bien para cualquier consulta, me atendieron a ultima en el restaurante y guardaron mis maletas hasta ultima hora de la tarde del día de salida lo cual agradeci mucho!! me sentí muy agusto",,2019-02-10
90587,1,27,Catalonia Sagrada Familia,"7,1",Habitación cómoda.,"Hicieron ruidos unos obreros cuando estaba enfermo y les pedía que pararan y no lo hicieron, la insonorización de la habitación es realmente mala, se oye todo lo de los pasillos y el cuarto de baño necesita una reforma.",2019-02-10
90587,1,28,Catalonia Sagrada Familia,10,Desayunos muy bueno y abundante. Limpieza perfecta. Amabilidad del personal. Cerca de dos paradas de metro.,Habitacion un poco estrecha. Había poco espacio entre la cama y la pared.,2019-02-10
90587,1,29,Catalonia Sagrada Familia,"6,7",La ubicación. ,"Las instalaciones necesitan actualización, fallan las llaves, los suelos desgastados que dan sensación de sucio, y el personal por su reacción ante los incidentes, más que habituados a ello.",2019-02-06
90587,1,30,Catalonia Sagrada Familia,"8,8",El personal el mejor sus instalaciones impecables !!!,"Las mantas Tan desgastadas que que ponen aun para un hotel de esta calidad, esto me ha defraudado! ",2019-02-06
90587,1,31,Catalonia Sagrada Familia,"7,1",El desayuno y la relación calidad precio ,Hacía frío en el baño. Sin posibilidad de calentarlo. Había una especie de luz roja que se supone que era para calentar el baño pero se encendía sólo dos segundos ,2019-02-03
